x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,visibility_0,visibility_1,visibility_2,visibility_3,visibility_4,visibility_5,visibility_6,visibility_7,visibility_8,visibility_9,visibility_10,visibility_11,visibility_12,visibility_13,visibility_14,visibility_15,visibility_16,visibility_17,visibility_18,visibility_19,visibility_20,visibility_21,visibility_22,visibility_23,visibility_24,visibility_25,visibility_26,visibility_27,visibility_28,visibility_29,visibility_30,visibility_31,visibility_32,action
0.43476218,0.37694931,-0.4731206,0.999936521,0.44706291,0.356382847,-0.450554699,0.999878168,0.454018652,0.357212365,-0.450696319,0.999877393,0.458988845,0.358471245,-0.450778663,0.999865949,0.42778188,0.354683608,-0.452776015,0.999867976,0.422002703,0.354377419,-0.452874243,0.999867439,0.415985346,0.354171574,-0.453046888,0.999853313,0.469526857,0.370673478,-0.284644246,0.999813974,0.411181539,0.366042614,-0.298197031,0.999857605,0.446551949,0.401668042,-0.408071339,0.999965131,0.422192723,0.399524212,-0.412348926,0.999966323,0.511984587,0.501812756,-0.149023265,0.999931335,0.36783573,0.49637863,-0.192858562,0.999864757,0.526759505,0.6662485,-0.050433934,0.994953752,0.349032313,0.644328237,-0.152285919,0.993861854,0.525043905,0.805159748,-0.202341244,0.992843091,0.335084945,0.75791961,-0.317729831,0.981945395,0.531070411,0.854110956,-0.251832247,0.982711077,0.329634428,0.791762292,-0.367716819,0.960148454,0.516336858,0.853939474,-0.301305652,0.984936059,0.335708678,0.787213206,-0.416747898,0.965779185,0.511198044,0.837745488,-0.224289775,0.983746111,0.33973828,0.777617037,-0.337926656,0.963516474,0.47555691,0.791932404,0.016410504,0.997672677,0.38681218,0.786611915,-0.016069327,0.997418582,0.460077614,0.989232779,0.000321003,0.58930248,0.394216925,0.981117368,0.020199109,0.513259947,0.463614792,1.182680011,0.372288525,0.066468529,0.391471446,1.186943769,0.357852042,0.066763289,0.460010588,1.20107615,0.402258635,0.064288832,0.390413493,1.208338141,0.382969439,0.04803909,0.459441662,1.255456686,0.24868755,0.040504511,0.400556743,1.257418275,0.213149101,0.040839102,Aeroplane
0.434799045,0.376968414,-0.50506258,0.999922752,0.44707042,0.356396526,-0.482869685,0.999853015,0.454036474,0.357225418,-0.482997239,0.99985373,0.459016234,0.358494341,-0.48309809,0.999840498,0.427790582,0.354726166,-0.48451215,0.999833882,0.422003657,0.354438633,-0.484609991,0.999833345,0.415988058,0.354294837,-0.484789371,0.999812603,0.469594419,0.370773107,-0.312142611,0.99979043,0.411186695,0.366315007,-0.322173417,0.99981451,0.446677834,0.401715815,-0.438500255,0.999957502,0.422246128,0.399618417,-0.441337019,0.999956131,0.51197809,0.501811326,-0.166660845,0.999916613,0.368249804,0.495812416,-0.198698878,0.999830961,0.526760995,0.665836513,-0.05730655,0.993994653,0.349695742,0.644831657,-0.164979681,0.992446959,0.525238514,0.804914653,-0.203307748,0.99144119,0.329004705,0.750118136,-0.358940184,0.979325354,0.531719089,0.854206979,-0.249819234,0.980015934,0.322032601,0.779195368,-0.407746464,0.956901908,0.516543806,0.853962302,-0.299115956,0.982580602,0.325875074,0.773803949,-0.459736049,0.962878287,0.511313975,0.837714493,-0.224682689,0.981186152,0.330638677,0.767457128,-0.382664621,0.96021235,0.476999342,0.791935742,0.016241696,0.997144341,0.387354225,0.786790967,-0.015915658,0.996866345,0.460509062,0.987920642,-0.013903439,0.591795683,0.394671261,0.980637431,-0.011525019,0.520575106,0.462396443,1.179710984,0.365015924,0.075366087,0.391934842,1.184443712,0.3100456,0.076793946,0.457388699,1.197876573,0.3934744,0.072977521,0.391112626,1.204884768,0.33502382,0.05416172,0.459468037,1.252636552,0.23986645,0.046228364,0.401200473,1.255597949,0.139495879,0.047217287,Aeroplane
0.43472442,0.376984298,-0.507690251,0.999908686,0.447024584,0.356409013,-0.485907942,0.999829352,0.45402208,0.357235372,-0.486034155,0.999830246,0.459020525,0.358516008,-0.486139864,0.999814093,0.427716076,0.354735881,-0.48599425,0.999801338,0.421869218,0.354446083,-0.486081123,0.999800742,0.41593799,0.354338557,-0.486255556,0.999773502,0.469627678,0.370855004,-0.315515786,0.999771774,0.411178917,0.366481394,-0.319918573,0.999773324,0.446660221,0.401766807,-0.441401631,0.999949217,0.422172457,0.39976415,-0.442103952,0.99994427,0.511979282,0.501816869,-0.16964595,0.999899685,0.368442625,0.494152099,-0.196872875,0.999794364,0.527106404,0.665825903,-0.059706055,0.993045151,0.349647522,0.645785332,-0.179182068,0.990211666,0.525315583,0.804876208,-0.197292343,0.989697874,0.315784991,0.726759732,-0.417566866,0.977482855,0.532176375,0.854341567,-0.241972327,0.976603925,0.303818822,0.750072181,-0.468882799,0.955436647,0.516699553,0.8539747,-0.288791269,0.979621172,0.309159815,0.745883226,-0.523327231,0.961644351,0.511367321,0.837701678,-0.217429966,0.978127062,0.314471722,0.735171318,-0.444036543,0.958682716,0.477104604,0.792103052,0.015939346,0.996539116,0.387353122,0.787123442,-0.015639534,0.99617815,0.460579723,0.986991107,-0.03141629,0.58858484,0.394641697,0.979546547,-0.025969531,0.518955946,0.460292727,1.181927323,0.324357241,0.083350338,0.392133117,1.184309721,0.262984484,0.083950341,0.454478562,1.200975418,0.350030214,0.08184123,0.391440362,1.204851627,0.284677714,0.059489451,0.458849996,1.253665328,0.189255267,0.051133901,0.401190937,1.255028248,0.086800121,0.051990524,Aeroplane
0.434557259,0.377002567,-0.481810808,0.999910831,0.446928203,0.356418401,-0.463448286,0.999836743,0.453935951,0.357269377,-0.463618577,0.999837637,0.459003687,0.358565271,-0.463773787,0.99982214,0.427583694,0.354749084,-0.458053648,0.999806762,0.421614945,0.354456335,-0.458117485,0.99980545,0.415813684,0.35436523,-0.458245695,0.999777794,0.469619602,0.370995551,-0.304243296,0.999787807,0.411126137,0.366623282,-0.285798043,0.999775171,0.44632259,0.40196082,-0.420094669,0.999951422,0.421647012,0.400288373,-0.414061308,0.999944806,0.511969268,0.501845777,-0.173163742,0.999897897,0.369454175,0.490430564,-0.155686289,0.999762058,0.527247548,0.666000962,-0.094515115,0.992905617,0.348843127,0.646595716,-0.220929384,0.987180591,0.525499344,0.804915726,-0.233468726,0.989198685,0.294442624,0.664214194,-0.581718147,0.977615893,0.533012211,0.854725718,-0.276129603,0.975513577,0.274297953,0.661295116,-0.645369053,0.957026899,0.516946852,0.8541798,-0.319306076,0.978694916,0.275669992,0.638729095,-0.689844012,0.963021636,0.511540174,0.837807119,-0.251143038,0.977270424,0.285469294,0.639968872,-0.608299136,0.959931314,0.477794021,0.792363405,0.008241022,0.996286273,0.387858152,0.788048685,-0.008002005,0.995679975,0.461422771,0.987052262,-0.068637416,0.593357921,0.394248754,0.979664385,-0.027433747,0.518281758,0.459935844,1.183371663,0.268526763,0.092498854,0.394394368,1.186024904,0.263773143,0.089087427,0.454370677,1.201704502,0.292407244,0.091079153,0.395132482,1.206804991,0.286551893,0.064640529,0.458374202,1.25525713,0.134258628,0.056166403,0.401195765,1.256550074,0.100806296,0.055231798,Aeroplane
0.434484541,0.376889646,-0.480558097,0.99990809,0.44689393,0.356377333,-0.461738735,0.99983716,0.453909576,0.357242584,-0.461922407,0.999838412,0.458998293,0.358548194,-0.462075055,0.999822736,0.427494705,0.354661375,-0.456906468,0.999803722,0.421425015,0.354371876,-0.456974506,0.999802113,0.415710837,0.354345828,-0.457109362,0.999771953,0.469605297,0.371013373,-0.300237507,0.999797761,0.411000639,0.366683781,-0.285136521,0.999767601,0.446217835,0.401975304,-0.418150961,0.999950886,0.421206892,0.400420845,-0.41309461,0.999941111,0.511850536,0.501827955,-0.172422424,0.999888599,0.369495481,0.488233209,-0.156485289,0.999703228,0.527286291,0.665834606,-0.095557839,0.992731452,0.345761865,0.647050619,-0.235370919,0.98427999,0.525626898,0.804916918,-0.236517623,0.988497198,0.289213002,0.656503737,-0.594285905,0.977071941,0.533628047,0.855157495,-0.279019564,0.974116087,0.270066679,0.652431726,-0.657557726,0.957504749,0.517220795,0.854500055,-0.322166651,0.977506638,0.272686422,0.628430784,-0.703476369,0.963460982,0.51171124,0.837976635,-0.254541457,0.976186991,0.282074809,0.629958451,-0.62130475,0.960241973,0.478204966,0.792439044,0.00660683,0.996034741,0.387860358,0.788138688,-0.006376737,0.995272875,0.461752504,0.987651527,-0.054812659,0.598941922,0.394221604,0.980547965,-0.020503258,0.516992033,0.460392714,1.189373374,0.284833103,0.097757563,0.395378798,1.188871503,0.273197711,0.091149099,0.454925716,1.208444118,0.308656275,0.095344722,0.396362811,1.209380031,0.296334714,0.067743294,0.458643258,1.260340214,0.143854544,0.058057893,0.401202291,1.257212043,0.109106757,0.056287363,Aeroplane
0.43459481,0.376778692,-0.483857393,0.999912679,0.447001517,0.356343448,-0.464910984,0.99984771,0.454024225,0.357220501,-0.465089947,0.999849021,0.459052235,0.358534425,-0.46524182,0.999834478,0.427514464,0.354567319,-0.460987031,0.99981451,0.421420425,0.354231417,-0.461053848,0.999812424,0.415694892,0.354257613,-0.461161524,0.999783218,0.469606251,0.370984495,-0.30479452,0.99981463,0.410882086,0.366681933,-0.289055884,0.999777853,0.446270883,0.401937634,-0.421761215,0.999953866,0.421197236,0.400429815,-0.41722846,0.999943256,0.511847854,0.501800478,-0.193579108,0.999889493,0.368519902,0.486776143,-0.160480648,0.999673784,0.527285814,0.665826201,-0.132176772,0.992771327,0.344495744,0.647083282,-0.236271977,0.983107269,0.525749445,0.804815888,-0.287326604,0.988445044,0.277737975,0.634841025,-0.596019864,0.978081822,0.533859432,0.855176091,-0.331892401,0.973938525,0.25489521,0.629989803,-0.657329321,0.959863842,0.517342865,0.854509711,-0.375932783,0.977359533,0.254082441,0.601034582,-0.701113224,0.965521395,0.511874497,0.837979317,-0.305588305,0.97612077,0.265305132,0.603308499,-0.622455359,0.962329268,0.478237391,0.792453349,-0.00014324,0.995563269,0.387821585,0.788457811,0.000321924,0.994651675,0.462196767,0.988411307,-0.061713129,0.607697964,0.394221067,0.98268044,-0.022900615,0.521470189,0.461219311,1.194476843,0.279547125,0.106178261,0.39844197,1.198530078,0.245313689,0.097548984,0.4564794,1.214099169,0.30359292,0.101123333,0.400489956,1.220105886,0.265530109,0.073052704,0.459069788,1.265561938,0.144349784,0.061699044,0.402204424,1.266064763,0.080365203,0.059407212,Aeroplane
0.434851825,0.376519293,-0.421290487,0.99992013,0.447220415,0.356300354,-0.40151158,0.999861121,0.454248488,0.357204467,-0.401696026,0.999862611,0.459187835,0.358526736,-0.401788652,0.999849021,0.427656084,0.354395926,-0.399088919,0.999830186,0.421491563,0.353925407,-0.399130613,0.999828398,0.415722996,0.353917003,-0.399191439,0.999800801,0.469623238,0.370964348,-0.248200923,0.999832332,0.410879284,0.366433352,-0.238505334,0.999796867,0.446491152,0.401725203,-0.362283528,0.99995786,0.421252549,0.400165975,-0.359490931,0.999947548,0.511782765,0.501729846,-0.151040152,0.999895692,0.367510349,0.48698917,-0.106601909,0.999677896,0.527268291,0.666144788,-0.085077822,0.993244648,0.344444215,0.647348106,-0.197690934,0.983844638,0.525750458,0.804961443,-0.220277905,0.989236355,0.274995148,0.61856091,-0.555490851,0.980032444,0.533844829,0.855500758,-0.258550406,0.975770473,0.246679515,0.615500212,-0.615998507,0.963485658,0.517349601,0.854837775,-0.303932399,0.978952348,0.2481848,0.587592661,-0.661888838,0.968636453,0.511885345,0.83819294,-0.238008738,0.977873623,0.260936439,0.587364852,-0.583152175,0.965725482,0.477818877,0.795106232,-0.000166338,0.995879054,0.386641443,0.791708708,0.000361802,0.995024204,0.462195456,0.995209455,-0.059865661,0.629691005,0.394500673,0.996237874,-0.024386665,0.544221342,0.465055406,1.211993098,0.281277031,0.107852645,0.402184188,1.221383691,0.258188546,0.097927116,0.462603033,1.232798219,0.305651486,0.100637995,0.40412122,1.243597031,0.280240119,0.07365422,0.461991727,1.283395767,0.151903331,0.059897207,0.404706717,1.288132429,0.092520028,0.057495035,Aeroplane
0.434919178,0.376380265,-0.429500401,0.999926627,0.447280407,0.356282264,-0.410116851,0.999872983,0.454326808,0.357202619,-0.410282284,0.999874532,0.459240288,0.358529717,-0.410369158,0.999861896,0.427679718,0.354241937,-0.407315195,0.999843955,0.421497822,0.353642404,-0.407365859,0.999842227,0.4157269,0.353555262,-0.407433599,0.999816179,0.469626844,0.370955944,-0.258222997,0.999848127,0.410868227,0.36620605,-0.24699004,0.99981302,0.446510553,0.401656747,-0.371143043,0.999961436,0.421255529,0.399992555,-0.367821187,0.999951363,0.511725426,0.501477778,-0.154544368,0.999900877,0.366092622,0.487282306,-0.114148378,0.999678731,0.527239621,0.666366637,-0.089996174,0.993672609,0.344493568,0.647870958,-0.19748418,0.984463751,0.525743902,0.805315316,-0.22123532,0.989979804,0.27318731,0.611920178,-0.56543076,0.981797755,0.533814788,0.856340945,-0.264402151,0.977432072,0.245541006,0.605516076,-0.625913143,0.966738522,0.517332137,0.855787098,-0.31002754,0.980395734,0.248718947,0.576763093,-0.669389307,0.971433997,0.511890769,0.839023352,-0.239443928,0.979443073,0.260108769,0.577515304,-0.592368066,0.968764603,0.477583557,0.79554981,-0.000342865,0.99610734,0.386478961,0.793062985,0.000515036,0.995310664,0.468904495,1.02743566,-0.063410312,0.647601247,0.395792186,0.999336064,-0.027808268,0.564570189,0.468535841,1.21305418,0.282316506,0.110452749,0.405626297,1.22622478,0.245032951,0.101617992,0.466884434,1.233480811,0.307101637,0.100252166,0.40747872,1.249022722,0.265806019,0.074870512,0.465202421,1.284828067,0.152491361,0.059111718,0.408366531,1.293426394,0.080245331,0.057145398,Aeroplane
0.434960216,0.376194865,-0.411367089,0.99993217,0.447325051,0.356251091,-0.392641902,0.999883175,0.454387486,0.35719499,-0.392816424,0.999884963,0.45928973,0.358528703,-0.392882973,0.999872983,0.427702278,0.354083389,-0.388609409,0.999855638,0.421505064,0.353383869,-0.388669193,0.999854207,0.41573438,0.353237689,-0.388737977,0.999829054,0.469636858,0.370934397,-0.245097905,0.999862134,0.410860211,0.366078883,-0.22736533,0.999826968,0.44652158,0.401573181,-0.354849249,0.999964416,0.421259701,0.399815589,-0.349677831,0.999954402,0.511722028,0.501371562,-0.150995448,0.99990505,0.365787566,0.487455875,-0.094584599,0.999676645,0.527234614,0.666451216,-0.089795507,0.99414587,0.344450235,0.64826864,-0.180524498,0.985283911,0.525721431,0.8053931,-0.22358568,0.990764022,0.272134632,0.607260168,-0.549070179,0.983464599,0.533722699,0.856524289,-0.265924633,0.979196846,0.245221585,0.600546777,-0.608599782,0.969792426,0.517275274,0.85606128,-0.311815351,0.981927872,0.249983042,0.571388841,-0.651706219,0.97405827,0.51188153,0.839328527,-0.242083222,0.981092811,0.260931373,0.572665632,-0.575763166,0.971626759,0.476780564,0.797011077,-0.001626048,0.996361375,0.385783315,0.795247793,0.001807607,0.99562192,0.468503296,1.025394917,-0.067047231,0.665977538,0.397136688,1.034111619,-0.025772542,0.585653305,0.468849331,1.215011477,0.274485648,0.110986799,0.404787719,1.231210709,0.252571553,0.102962323,0.467894316,1.23548913,0.298784316,0.098452799,0.406343937,1.254752874,0.273579538,0.074717104,0.464938968,1.286224604,0.143971264,0.057382356,0.408108383,1.298411608,0.087531283,0.055703279,Aeroplane
0.435169876,0.376065999,-0.422636658,0.999937117,0.447614133,0.356233507,-0.40391165,0.999892414,0.454642296,0.357197613,-0.404088438,0.999894261,0.459452391,0.358534664,-0.404158264,0.999882877,0.427935272,0.353931278,-0.400247991,0.999866307,0.421695143,0.353153139,-0.400313437,0.999864936,0.415867865,0.352927834,-0.400382847,0.999840736,0.469652951,0.370938867,-0.254296482,0.999874711,0.410872281,0.365905255,-0.238379806,0.999839306,0.446583927,0.401545465,-0.365250528,0.999967158,0.421357483,0.399669588,-0.360549122,0.999957263,0.511666894,0.501058578,-0.155443102,0.999908209,0.365266532,0.487581611,-0.1013809,0.999671876,0.527114272,0.666484118,-0.098986179,0.994551539,0.34445107,0.648371875,-0.179330349,0.985982537,0.525727749,0.805695355,-0.234412521,0.991437495,0.269496202,0.602060914,-0.551109314,0.984965861,0.533707857,0.85745126,-0.273431569,0.980714917,0.243867591,0.594246626,-0.610634923,0.972537339,0.517260849,0.856810808,-0.320237577,0.983245671,0.249045447,0.566842675,-0.654614925,0.976417899,0.511886358,0.839927137,-0.252486676,0.982518792,0.259470701,0.568399787,-0.57825458,0.97419703,0.476041257,0.798375368,-0.005944622,0.99656558,0.384910285,0.797045946,0.006112354,0.995865643,0.46812278,1.020047903,-0.071060471,0.68381834,0.397431821,1.043938398,-0.01225796,0.605572522,0.469051927,1.215703964,0.265756786,0.113202982,0.404300123,1.231511235,0.281099141,0.104584746,0.468262047,1.236259818,0.289782107,0.097722247,0.405889452,1.254619241,0.304481059,0.075318769,0.465172619,1.287191153,0.136317596,0.056582663,0.407914877,1.298607588,0.126074404,0.054729886,Aeroplane
